id;zone;p_lat;p_lon;number;label;keywords
1;43.633503 3.862539,43.633569 3.862794,43.634788 3.862112,43.63473 3.861874;43.63418;3.862315;1;;
2;43.633357 3.86204,43.633431 3.862303,43.634653 3.861619,43.634574 3.861367;43.634056;3.861779;2;;
3;43.633229 3.861554,43.633292 3.861809,43.634505 3.861136,43.634423 3.86087;43.633885;3.861328;3;;
4;43.633091 3.861066,43.633162 3.861321,43.634417 3.860664,43.634321 3.860364;43.633722;3.860834;4;;
5;43.6329344 3.8614443,43.6329542 3.8614338000000004,43.632918100000005 3.8613101000000003,43.6328978 3.8613215000000003,43.632803200000005 3.8609966000000004,43.6326808 3.8610659000000003,43.6327754 3.8613890000000004,43.632755700000004 3.8614004000000004,43.6327912 3.8615231000000003,43.6328115 3.8615117000000003,43.6329889 3.8621174000000003,43.632968600000005 3.8621288000000003,43.6330052 3.8622542,43.633024400000004 3.8622437,43.6331196 3.8625632000000003,43.6332024 3.8628466,43.6332018 3.8628475000000004,43.633182600000005 3.8628607,43.6332181 3.8629835000000003,43.633239 3.8629712,43.6333342 3.8632943,43.633456 3.8632268,43.633360800000005 3.8629028,43.633362000000005 3.8629019,43.6333817 3.8628914,43.633345600000006 3.862766,43.6333253 3.8627783000000004,43.633147900000004 3.8621744000000002,43.6331676 3.8621612,43.633131000000006 3.8620385,43.6331113 3.8620499;43.633093;3.862165;5;;
6;43.632933400000006 3.8640042,43.6329366 3.8640258000000003,43.633027000000006 3.8639767000000003,43.6330204 3.863945,43.6332529 3.8638172,43.633204500000005 3.8636485,43.632969900000006 3.8637781,43.6329648 3.8637472,43.632873100000005 3.8637938000000003,43.632882200000005 3.8638232,43.6324398 3.8640675000000004,43.6324338 3.8640450000000004,43.6323428 3.8640952000000004,43.632352000000004 3.8641225,43.6321135 3.8642541,43.6321637 3.8644220000000002,43.6323984 3.8642939000000003,43.6324064 3.8643194000000003,43.6324975 3.8642695000000002,43.632492600000006 3.8642437000000003;43.63262;3.863999;6;;
7;43.6318636 3.8631036,43.6316957 3.8631962000000004,43.631303900000006 3.8634121,43.6314453 3.8638968,43.631778700000005 3.8637127,43.6318849 3.8636540000000004,43.6318866 3.8636558,43.6320044 3.8635892000000003;43.631579;3.863517;7;Administration;administration/administratif
8;43.6317449 3.8646505,43.631581000000004 3.8640802,43.631212000000005 3.8642668000000002,43.6312195 3.8642916,43.6311204 3.8643500000000004,43.6312809 3.8649012000000003,43.631359100000005 3.8648549,43.6313769 3.8648418,43.631417400000004 3.864838;43.631447;3.864439;8;Bibliothèque Universitaire;bu/bibliothèque/universitaire
9;43.630953 3.865703,43.631131 3.86633,43.631268 3.866247,43.631088 3.865636;43.631121;3.865995;9;;
10;43.6315186 3.8656847,43.631430200000004 3.8653841000000004,43.631275900000006 3.8654691000000003,43.631369500000005 3.8657842000000002,43.631501300000004 3.8662273000000003,43.631652100000004 3.8661423000000004;43.631478;3.86578;10;;
